date,open,high,low,close,ticker
30195,$118.25,$120.01,$118.24,$118.25,SPX
30194,$119.51,$120.45,$117.11,$119.51,SPX
30193,$117.66,$117.11,$115.92,$117.66,SPX
30190,$117.11,$118.89,$115.94,$117.11,SPX
30189,$118.55,$120.24,$118.69,$118.55,SPX
30188,$117.58,$118.78,$114.56,$117.58,SPX
30187,$115.34,$117.53,$114.08,$115.34,SPX
30186,$116.11,$116.69,$111.98,$116.11,SPX
30183,$113.02,$113.49,$109.33,$113.02,SPX
30182,$109.16,$110.67,$107.35,$109.16,SPX
30181,$108.53,$111.54,$109.50,$108.53,SPX
30180,$109.04,$109.33,$104.32,$109.04,SPX
30179,$104.09,$106.21,$103.56,$104.09,SPX
30176,$103.85,$104.27,$101.88,$103.85,SPX
30175,$102.42,$103.85,$101.80,$102.42,SPX
30174,$102.60,$102.88,$102.51,$102.60,SPX
30173,$102.84,$104.37,$102.30,$102.84,SPX
30172,$103.08,$103.76,$101.44,$103.08,SPX
30169,$103.71,$105.74,$103.71,$103.71,SPX
30168,$105.16,$106.35,$104.23,$105.16,SPX
30167,$106.14,$107.73,$105.59,$106.14,SPX
30166,$107.83,$110.05,$107.41,$107.83,SPX
30165,$108.98,$109.55,$107.01,$108.98,SPX
30162,$107.09,$108.46,$106.59,$107.09,SPX
30161,$107.72,$107.89,$106.79,$107.72,SPX
30160,$107.73,$109.50,$107.09,$107.73,SPX
30159,$109.43,$111.01,$108.90,$109.43,SPX
30158,$110.36,$111.53,$109.73,$110.36,SPX
30155,$111.17,$112.41,$110.25,$111.17,SPX
30154,$111.47,$112.58,$110.21,$111.47,SPX
30153,$111.42,$113.12,$110.68,$111.42,SPX
30152,$111.54,$112.24,$109.69,$111.54,SPX
30151,$110.73,$112.35,$110.08,$110.73,SPX
30148,$111.07,$112.14,$109.50,$111.07,SPX
30147,$110.47,$111.75,$109.54,$110.47,SPX
30146,$110.44,$111.00,$108.44,$110.44,SPX
30145,$109.45,$110.69,$108.43,$109.45,SPX
30144,$109.57,$110.84,$108.10,$109.57,SPX
30141,$108.83,$109.68,$107.26,$108.83,SPX
30140,$107.53,$108.08,$105.12,$107.53,SPX
30139,$107.22,$108.20,$106.26,$107.22,SPX
30138,$107.29,$108.27,$106.18,$107.29,SPX
30134,$107.65,$108.10,$107.65,$107.65,SPX
30133,$108.71,$109.58,$108.76,$108.71,SPX
30132,$109.61,$110.95,$110.95,$109.61,SPX
30131,$110.21,$110.27,$109.00,$110.21,SPX
30130,$110.26,$110.97,$108.74,$110.26,SPX
30127,$109.14,$110.44,$108.50,$109.14,SPX
30126,$109.83,$111.39,$109.07,$109.83,SPX
30125,$110.14,$110.54,$107.61,$110.14,SPX
30124,$108.30,$108.76,$106.51,$108.30,SPX
30123,$107.20,$108.39,$106.33,$107.20,SPX
30120,$107.28,$108.24,$106.51,$107.28,SPX
30119,$107.60,$108.87,$106.96,$107.60,SPX
30118,$108.87,$110.62,$108.30,$108.87,SPX
30117,$109.69,$110.34,$108.57,$109.69,SPX
30116,$109.96,$111.32,$109.41,$109.96,SPX
30113,$111.24,$112.19,$110.12,$111.24,SPX
30112,$109.61,$110.30,$108.28,$109.61,SPX
30111,$108.99,$110.14,$108.07,$108.99,SPX
30110,$109.63,$110.91,$109.03,$109.63,SPX
30109,$110.12,$111.05,$108.85,$110.12,SPX
30106,$110.09,$112.15,$109.64,$110.09,SPX
30105,$111.86,$113.05,$110.98,$111.86,SPX
30104,$112.04,$112.82,$110.95,$112.04,SPX
30103,$111.68,$112.75,$110.96,$111.68,SPX
30099,$111.88,$113.23,$111.19,$111.88,SPX
30098,$112.66,$113.69,$111.99,$112.66,SPX
30097,$113.11,$114.40,$112.44,$113.11,SPX
30096,$114.40,$116.06,$114.06,$114.40,SPX
30095,$114.79,$115.53,$113.70,$114.79,SPX
30092,$114.89,$115.75,$113.99,$114.89,SPX
30091,$114.59,$115.64,$113.73,$114.59,SPX
30090,$114.89,$116.46,$114.37,$114.89,SPX
30089,$115.84,$117.01,$115.18,$115.84,SPX
30088,$116.71,$118.20,$116.25,$116.71,SPX
30085,$118.01,$119.07,$117.39,$118.01,SPX
30084,$118.22,$119.76,$117.70,$118.22,SPX
30083,$119.17,$120.47,$118.23,$119.17,SPX
30082,$119.42,$120.13,$117.86,$119.42,SPX
30081,$118.38,$119.73,$117.80,$118.38,SPX
30078,$119.47,$120.55,$118.21,$119.47,SPX
30077,$118.68,$119.62,$117.72,$118.68,SPX
30076,$117.67,$118.74,$116.66,$117.67,SPX
30075,$117.46,$117.61,$117.39,$117.46,SPX
30074,$116.81,$117.39,$115.36,$116.81,SPX
30071,$116.44,$117.37,$115.44,$116.44,SPX
30070,$116.13,$117.42,$115.56,$116.13,SPX
30069,$117.26,$118.59,$116.42,$117.26,SPX
30068,$118.00,$117.70,$115.68,$118.00,SPX
30067,$119.26,$117.70,$115.68,$119.26,SPX
30064,$118.64,$117.70,$115.68,$118.64,SPX
30063,$117.19,$117.70,$115.68,$117.19,SPX
30062,$115.72,$117.70,$115.68,$115.72,SPX
30061,$115.44,$117.70,$115.68,$115.44,SPX
30060,$116.70,$117.70,$115.68,$116.70,SPX
30057,$116.81,$117.70,$115.68,$116.81,SPX
30056,$116.35,$116.86,$115.02,$116.35,SPX
30055,$115.83,$116.69,$114.80,$115.83,SPX
30054,$115.99,$117.12,$115.16,$115.99,SPX
30053,$116.00,$117.02,$115.16,$116.00,SPX
30049,$116.22,$116.94,$114.94,$116.22,SPX
30048,$115.46,$116.45,$114.58,$115.46,SPX
30047,$115.36,$115.92,$113.70,$115.36,SPX
30046,$114.73,$115.90,$113.94,$114.73,SPX
30043,$115.12,$115.79,$113.65,$115.12,SPX
30042,$113.79,$114.22,$111.48,$113.79,SPX
30041,$111.96,$113.17,$111.32,$111.96,SPX
30040,$112.27,$113.09,$111.23,$112.27,SPX
30039,$112.30,$112.82,$110.90,$112.30,SPX
30036,$111.94,$113.43,$111.26,$111.94,SPX
30035,$113.21,$114.26,$112.02,$113.21,SPX
30034,$112.97,$114.31,$112.23,$112.97,SPX
30033,$113.55,$114.51,$112.29,$113.55,SPX
30032,$112.77,$113.35,$110.71,$112.77,SPX
30029,$110.61,$111.59,$109.64,$110.61,SPX
30028,$110.30,$111.02,$108.85,$110.30,SPX
30027,$109.08,$110.10,$108.11,$109.08,SPX
30026,$109.28,$110.92,$108.57,$109.28,SPX
30025,$109.45,$109.99,$107.47,$109.45,SPX
30022,$108.61,$109.72,$107.46,$108.61,SPX
30021,$109.36,$110.87,$108.38,$109.36,SPX
30020,$109.41,$110.98,$108.09,$109.41,SPX
30019,$108.83,$109.88,$106.17,$108.83,SPX
30018,$107.34,$111.06,$107.03,$107.34,SPX
30015,$109.34,$110.90,$108.31,$109.34,SPX
30014,$109.88,$111.78,$108.77,$109.88,SPX
30013,$110.92,$111.55,$111.16,$110.92,SPX
30012,$112.68,$114.80,$112.03,$112.68,SPX
30011,$113.31,$114.32,$111.86,$113.31,SPX
30008,$113.11,$114.01,$112.04,$113.11,SPX
30007,$113.21,$114.86,$112.44,$113.21,SPX
30006,$113.47,$112.30,$111.41,$113.47,SPX
30005,$111.51,$112.46,$110.03,$111.51,SPX
30004,$111.59,$114.90,$111.20,$111.59,SPX
30001,$113.22,$114.58,$112.33,$113.22,SPX
30000,$113.82,$115.04,$112.97,$113.82,SPX
29999,$113.69,$115.09,$112.97,$113.69,SPX
29998,$114.06,$114.63,$112.06,$114.06,SPX
29994,$114.38,$115.39,$114.38,$114.38,SPX
29993,$114.43,$115.59,$113.41,$114.43,SPX
29992,$114.66,$115.62,$113.45,$114.66,SPX
29991,$113.68,$115.15,$112.82,$113.68,SPX
29990,$114.63,$117.04,$114.20,$114.63,SPX
29987,$117.26,$118.26,$115.74,$117.26,SPX
29986,$116.42,$117.49,$114.88,$116.42,SPX
29985,$116.48,$118.67,$116.04,$116.48,SPX
29984,$118.01,$119.15,$116.91,$118.01,SPX
29983,$117.78,$119.81,$117.14,$117.78,SPX
29980,$120.40,$121.38,$118.64,$120.40,SPX
29979,$118.92,$119.35,$116.10,$118.92,SPX
29978,$115.74,$116.60,$114.38,$115.74,SPX
29977,$115.19,$116.60,$114.49,$115.19,SPX
29976,$115.41,$115.93,$113.63,$115.41,SPX
29973,$115.38,$116.53,$114.56,$115.38,SPX
29972,$115.75,$116.92,$114.60,$115.75,SPX
29971,$115.27,$116.64,$114.29,$115.27,SPX
29970,$115.97,$118.15,$115.52,$115.97,SPX
29969,$117.22,$117.69,$114.85,$117.22,SPX
29966,$116.33,$117.14,$115.10,$116.33,SPX
29965,$115.54,$116.30,$114.07,$115.54,SPX
29964,$114.88,$116.85,$115.30,$114.88,SPX
29963,$116.30,$117.49,$115.18,$116.30,SPX
29962,$116.78,$120.34,$116.47,$116.78,SPX
29959,$119.55,$120.59,$118.55,$119.55,SPX
29958,$118.93,$119.86,$117.70,$118.93,SPX
29957,$119.18,$120.45,$117.99,$119.18,SPX
29956,$120.05,$122.61,$119.57,$120.05,SPX
29955,$122.74,$123.72,$121.48,$122.74,SPX
29951,$122.55,$123.42,$121.57,$122.55,SPX
29950,$122.30,$123.11,$121.04,$122.30,SPX
29949,$121.67,$122.90,$121.12,$121.67,SPX
29948,$122.27,$123.36,$121.73,$122.27,SPX
29944,$122.54,$122.37,$122.24,$122.54,SPX
29943,$122.31,$123.59,$121.58,$122.31,SPX
29942,$122.88,$124.17,$122.19,$122.88,SPX
29941,$123.34,$124.71,$122.67,$123.34,SPX
29938,$124.00,$124.87,$122.56,$124.00,SPX
29937,$123.12,$123.79,$121.62,$123.12,SPX
29936,$122.42,$123.66,$121.73,$122.42,SPX
29935,$122.99,$123.78,$122.99,$122.99,SPX
29934,$122.78,$124.37,$122.17,$122.78,SPX
29931,$124.93,$126.28,$124.32,$124.93,SPX
29930,$125.71,$126.54,$124.60,$125.71,SPX
29929,$125.48,$126.08,$124.09,$125.48,SPX
29928,$124.82,$125.75,$123.52,$124.82,SPX
29927,$125.19,$126.91,$124.67,$125.19,SPX
29924,$126.26,$127.32,$125.12,$126.26,SPX
29923,$125.12,$125.89,$123.63,$125.12,SPX
29922,$124.69,$126.45,$124.16,$124.69,SPX
29921,$126.10,$127.50,$124.84,$126.10,SPX
29920,$126.35,$126.97,$124.18,$126.35,SPX
29917,$125.09,$125.08,$124.21,$125.09,SPX
29915,$124.05,$125.29,$123.07,$124.05,SPX
29914,$123.51,$122.16,$122.07,$123.51,SPX
29913,$121.60,$123.11,$120.76,$121.60,SPX
29910,$121.71,$122.59,$120.13,$121.71,SPX
29909,$120.71,$121.67,$119.42,$120.71,SPX
29908,$120.26,$121.86,$119.61,$120.26,SPX
29907,$121.15,$121.78,$119.50,$121.15,SPX
29906,$120.24,$121.64,$119.13,$120.24,SPX
29903,$121.67,$123.61,$121.05,$121.67,SPX
29902,$123.19,$124.71,$122.19,$123.19,SPX
29901,$122.92,$123.62,$121.51,$122.92,SPX
29900,$122.70,$124.69,$122.01,$122.70,SPX
29899,$123.29,$124.13,$121.59,$123.29,SPX
29896,$122.67,$124.03,$121.85,$122.67,SPX
29895,$123.54,$125.80,$122.96,$123.54,SPX
29894,$124.74,$126.00,$123.64,$124.74,SPX
29893,$124.80,$125.52,$123.14,$124.80,SPX
29892,$124.20,$125.14,$122.35,$124.20,SPX
29889,$121.89,$122.53,$118.43,$121.89,SPX
29888,$119.06,$120.37,$118.14,$119.06,SPX
29887,$119.45,$120.96,$118.39,$119.45,SPX
29886,$119.29,$120.43,$117.80,$119.29,SPX
29885,$118.16,$119.00,$116.81,$118.16,SPX
29882,$118.60,$119.00,$118.63,$118.60,SPX
29881,$119.64,$120.78,$118.48,$119.64,SPX
29880,$120.10,$129.14,$119.35,$120.10,SPX
29879,$120.28,$121.29,$118.78,$120.28,SPX
29878,$118.98,$119.85,$117.58,$118.98,SPX
29875,$119.19,$120.46,$118.38,$119.19,SPX
29874,$119.71,$120.56,$118.01,$119.71,SPX
29873,$118.80,$120.97,$118.38,$118.80,SPX
29872,$120.78,$122.37,$119.98,$120.78,SPX
29871,$121.21,$122.37,$120.17,$121.21,SPX
29868,$121.45,$123.28,$120.63,$121.45,SPX
29867,$122.31,$123.08,$120.23,$122.31,SPX
29866,$121.31,$121.87,$119.09,$121.31,SPX
29865,$119.39,$121.39,$118.08,$119.39,SPX
29864,$119.51,$121.54,$118.61,$119.51,SPX
29861,$119.36,$120.16,$117.07,$119.36,SPX
29860,$117.08,$117.66,$115.00,$117.08,SPX
29859,$116.18,$117.05,$114.60,$116.18,SPX
29858,$115.94,$117.75,$114.75,$115.94,SPX
29857,$115.53,$115.83,$110.19,$115.53,SPX
29854,$112.77,$114.69,$111.64,$112.77,SPX
29853,$115.01,$117.47,$114.32,$115.01,SPX
29852,$115.65,$116.68,$113.60,$115.65,SPX
29851,$116.68,$118.19,$115.93,$116.68,SPX
29850,$117.24,$118.07,$115.04,$117.24,SPX
29847,$116.26,$117.69,$115.16,$116.26,SPX
29846,$117.15,$119.87,$116.63,$117.15,SPX
29845,$118.87,$120.00,$117.89,$118.87,SPX
29844,$119.77,$121.77,$119.27,$119.77,SPX
29843,$120.66,$122.00,$119.67,$120.66,SPX
29840,$121.61,$122.13,$119.29,$121.61,SPX
29839,$120.14,$122.18,$118.33,$120.14,SPX
29838,$118.40,$118.78,$117.74,$118.40,SPX
29837,$117.98,$120.12,$116.85,$117.98,SPX
29833,$120.07,$121.54,$119.24,$120.07,SPX
29832,$121.24,$124.16,$120.82,$121.24,SPX
29831,$123.49,$124.58,$122.54,$123.49,SPX
29830,$123.02,$123.92,$121.59,$123.02,SPX
29829,$122.79,$125.58,$122.29,$122.79,SPX
29826,$124.08,$125.09,$122.85,$124.08,SPX
29825,$123.51,$125.31,$122.90,$123.51,SPX
29824,$124.96,$126.17,$123.99,$124.96,SPX
29823,$125.13,$125.77,$123.00,$125.13,SPX
29822,$125.50,$128.59,$125.02,$125.50,SPX
29819,$129.23,$131.06,$128.70,$129.23,SPX
29818,$130.69,$131.74,$124.84,$130.69,SPX
29817,$130.49,$131.20,$128.99,$130.49,SPX
29816,$130.11,$131.75,$129.10,$130.11,SPX
29815,$131.22,$132.19,$131.62,$131.22,SPX
29812,$132.49,$134.33,$131.91,$132.49,SPX
29811,$133.51,$134.58,$132.51,$133.51,SPX
29810,$133.40,$135.18,$132.73,$133.40,SPX
29809,$133.85,$134.63,$132.09,$133.85,SPX
29808,$132.54,$133.32,$130.83,$132.54,SPX
29805,$131.75,$133.03,$130.96,$131.75,SPX
29804,$132.64,$134.09,$131.74,$132.64,SPX
29803,$132.67,$133.39,$130.76,$132.67,SPX
29802,$131.18,$131.86,$129.43,$131.18,SPX
29801,$130.48,$131.74,$129.42,$130.48,SPX
29798,$130.92,$131.78,$129.60,$130.92,SPX
29797,$130.01,$130.68,$128.56,$130.01,SPX
