DATE,LMUNRRTTDEM156S,country
43040,5.5,DE
43070,5.5,DE
43101,5.4,DE
43132,5.4,DE
43160,5.3,DE
43191,5.3,DE
43221,5.2,DE
43252,5.2,DE
43282,5.2,DE
43313,5.1,DE
43344,5.1,DE
43374,5.1,DE
43405,5,DE
43435,5,DE
43466,5,DE
43497,5,DE
43525,4.9,DE
43556,4.9,DE
43586,5,DE
43617,5,DE
43647,5,DE
43678,5,DE
43709,5,DE
43739,5,DE
43770,5,DE
43800,5,DE
43831,5,DE
43862,5,DE
43891,5,DE
43922,5.8,DE
