intdate,ri,cpi,gdp,inf,unp,dji_open,dji_open_lag30,dji_open_lag90,dji_open_lag365,dji_close,dji_close_lag30,dji_close_lag90,dji_close_lag365,dji_high,dji_high_lag30,dji_high_lag90,dji_high_lag365,dji_low,dji_low_lag30,dji_low_lag90,dji_low_lag365
19740430,t,20.29390297,1530.056,11.0548048,,836.75000000,37.47000000,-7.18000000,166.41000000,836.75000000,37.47000000,-7.18000000,166.41000000,836.75000000,37.47000000,-7.18000000,166.41000000,836.75000000,37.47000000,-7.18000000,166.41000000
19740501,t,20.5048583,,11.0548048,,853.88000000,13.69000000,-25.77000000,144.54000000,853.88000000,13.69000000,-25.77000000,144.54000000,853.88000000,13.69000000,-25.77000000,144.54000000,853.88000000,13.69000000,-25.77000000,144.54000000
19740502,t,20.5048583,,11.0548048,,851.06000000,21.28000000,-32.33000000,152.63000000,851.06000000,21.28000000,-32.33000000,152.63000000,851.06000000,21.28000000,-32.33000000,152.63000000,851.06000000,21.28000000,-32.33000000,152.63000000
19740503,t,20.5048583,,11.0548048,,845.90000000,29.57000000,-31.09000000,159.67000000,845.90000000,29.57000000,-31.09000000,159.67000000,845.90000000,29.57000000,-31.09000000,159.67000000,845.90000000,29.57000000,-31.09000000,159.67000000
19740506,t,20.5048583,,11.0548048,,844.88000000,33.25000000,-7.32000000,160.16000000,844.88000000,33.25000000,-7.32000000,160.16000000,844.88000000,33.25000000,-7.32000000,160.16000000,844.88000000,33.25000000,-7.32000000,160.16000000
19740507,t,20.5048583,,11.0548048,,847.15000000,33.87000000,3.86000000,166.10000000,847.15000000,33.87000000,3.86000000,166.10000000,847.15000000,33.87000000,3.86000000,166.10000000,847.15000000,33.87000000,3.86000000,166.10000000
19740508,t,20.5048583,,11.0548048,,850.99000000,32.69000000,-2.97000000,169.55000000,850.99000000,32.69000000,-2.97000000,169.55000000,850.99000000,32.69000000,-2.97000000,169.55000000,850.99000000,32.69000000,-2.97000000,169.55000000
19740509,t,20.5048583,,11.0548048,,865.77000000,5.40000000,-14.91000000,159.44000000,865.77000000,5.40000000,-14.91000000,159.44000000,865.77000000,5.40000000,-14.91000000,159.44000000,865.77000000,5.40000000,-14.91000000,159.44000000
19740510,t,20.5048583,,11.0548048,,850.44000000,3.91000000,4.88000000,167.32000000,850.44000000,3.91000000,4.88000000,167.32000000,850.44000000,3.91000000,4.88000000,167.32000000,850.44000000,3.91000000,4.88000000,167.32000000
19740513,t,20.5048583,,11.0548048,,845.59000000,1.09000000,35.10000000,173.75000000,845.59000000,1.09000000,35.10000000,173.75000000,845.59000000,1.09000000,35.10000000,173.75000000,845.59000000,1.09000000,35.10000000,173.75000000
19740514,t,20.5048583,,11.0548048,,847.86000000,-4.38000000,32.37000000,170.95000000,847.86000000,-4.38000000,32.37000000,170.95000000,847.86000000,-4.38000000,32.37000000,170.95000000,847.86000000,-4.38000000,32.37000000,170.95000000
19740515,t,20.5048583,,11.0548048,,846.06000000,0.55000000,30.79000000,172.15000000,846.06000000,0.55000000,30.79000000,172.15000000,846.06000000,0.55000000,30.79000000,172.15000000,846.06000000,0.55000000,30.79000000,172.15000000
19740516,t,20.5048583,,11.0548048,,835.34000000,22.69000000,26.44000000,188.59000000,835.34000000,22.69000000,26.44000000,188.59000000,835.34000000,22.69000000,26.44000000,188.59000000,835.34000000,22.69000000,26.44000000,188.59000000
