txtdate,intdate,recession_indicator,country,spy_open,spy_high,spy_low,spy_close,spx_open,spx_high,spx_low,spx_close,dji_open,dji_high,dji_low,dji_close,cpi,gdp,inflation,unemployment
25746,19700627,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25747,19700628,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25748,19700629,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25749,19700630,t,US,,,,,,,,,,,,,16.37013379,,5.83825534,
25750,19700701,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25751,19700702,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25752,19700703,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25753,19700704,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25754,19700705,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25755,19700706,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25756,19700707,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25757,19700708,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25758,19700709,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25759,19700710,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25760,19700711,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25761,19700712,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25762,19700713,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25763,19700714,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25764,19700715,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25765,19700716,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25766,19700717,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25767,19700718,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25768,19700719,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25769,19700720,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25770,19700721,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25771,19700722,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25772,19700723,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25773,19700724,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25774,19700725,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25775,19700726,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25776,19700727,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25777,19700728,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25778,19700729,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25779,19700730,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25780,19700731,t,US,,,,,,,,,,,,,16.41232485,1086.059,5.83825534,
25781,19700801,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25782,19700802,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25783,19700803,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25784,19700804,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25785,19700805,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25786,19700806,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25787,19700807,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25788,19700808,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25789,19700809,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25790,19700810,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25791,19700811,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25792,19700812,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25793,19700813,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25794,19700814,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25795,19700815,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25796,19700816,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25797,19700817,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25798,19700818,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25799,19700819,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25800,19700820,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25801,19700821,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25802,19700822,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25803,19700823,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25804,19700824,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25805,19700825,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25806,19700826,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25807,19700827,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25808,19700828,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25809,19700829,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25810,19700830,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25811,19700831,t,US,,,,,,,,,,,,,16.45451592,,5.83825534,
25812,19700901,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25813,19700902,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
25814,19700903,t,US,,,,,,,,,,,,,16.53889805,,5.83825534,
